,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude
374,Iceland,Westfjords Region,95,0,0,-21.812722724564118,65.9044156
375,Iceland,Southern Peninsula Region,77,0,0,-22.20220659202029,63.941341249999994
376,Iceland,Northeastern Region,46,0,0,65.59269925,-17.26672345863144
377,Iceland,Western Region,42,0,0,64.89592765,-22.15481901378846
378,Iceland,Northwestern Region,35,0,0,65.46774135,-19.86735870215371
379,Iceland,Eastern Region,8,0,0,64.86808500000001,-15.18809756721042
380,India,Maharashtra,5652,0,269,19.531932,76.0554568
381,India,Gujarat,2407,0,103,22.41540825,72.03149703699282
382,India,Delhi,2248,0,48,28.6517178,77.2219388
383,India,Rajasthan,1890,0,27,26.8105777,73.7684549
384,India,Madhya Pradesh,1695,0,81,23.9699282,79.39486954625225
385,India,Tamil Nadu,1629,0,18,10.9094334,78.3665347
386,India,Uttar Pradesh,1509,0,21,27.1303344,80.859666
387,India,Telangana,960,0,24,17.8495919,79.1151663
388,India,Andhra Pradesh,895,0,27,15.9240905,80.1863809
389,India,West Bengal,456,0,15,22.9964948,87.6855882
390,India,Karnataka,443,0,17,14.5203896,75.7223521
391,India,Kerala,438,0,3,10.3528744,76.5120396
392,India,Jammu and Kashmir,407,0,5,34.0476564,76.7972892
393,India,Punjab,277,0,16,30.9293211,75.5004841
394,India,Haryana,262,0,3,29.0,76.0
395,India,Bihar,148,0,2,25.6440845,85.906508
396,India,Odisha,83,0,1,20.5431241,84.6897321
397,India,Jharkhand,50,0,3,23.4559809,85.2557301
398,India,Uttarakhand,46,0,0,30.091993549999998,79.32176659343018
399,India,Himachal Pradesh,40,0,1,31.81676015,77.34932051968858
400,India,Chhattisgarh,36,0,0,21.6637359,81.8406351
401,India,Assam,35,0,1,26.4073841,93.2551303
402,India,Chandigarh,27,0,0,30.7194022,76.7646552
403,India,Andaman and Nicobar Islands,18,0,0,10.2188344,92.5771329
404,India,Ladakh,18,0,0,33.9456407,77.6568576
405,India,Meghalaya,12,0,1,25.5379432,91.2999102
406,India,Goa,7,0,0,15.3004543,74.0855134
407,India,Puducherry,7,0,0,11.9340568,79.8306447
408,India,Manipur,2,0,0,24.7208818,93.9229386
409,India,Tripura,2,0,0,23.7750823,91.7025091
410,India,Arunachal Pradesh,1,0,0,27.6891712,96.4597226
411,India,Mizoram,1,0,0,23.2146169,92.8687612
